Model,avg vertex in degree,std vertex in degree,kurtosis vertex in degree,skewness vertex in degree,avg vertex out degree,std vertex out degree,kurtosis vertex out degree,skewness vertex out degree,avg clustering coefficient,std clustering coefficient,kurtosis clustering coefficient,skewness clustering coefficient
iML1515,4.582844965370271,16.418026911782594,396.2324853511646,18.734142157072675,4.582844965370271,22.587382765753354,690.6919386913744,23.92171979432155,0.17586007753648042,0.17020208000668527,0.35576374791416887,0.7923974101398636
iMM1415,4.297219212712171,11.343744107111165,342.87015036238853,16.00811515171775,4.297219212712171,12.296569833959838,459.9968335597775,17.73483677620643,0.13818389598261122,0.16186241876091556,2.6890095687899835,1.4138234887532675
iMM904,5.026916802610114,11.834024540426675,266.47865268405485,14.25260153246775,5.026916802610114,14.5550121353087,440.9325685064251,18.070595470594196,0.15638930383396163,0.19595102740980855,4.706711727122006,1.9314047076663219
iND750,5.007554296506138,11.281108058309513,229.7616638430197,13.256103026194722,5.007554296506138,14.19411958352124,350.46612238722935,16.114780153773307,0.15734115045428884,0.19144726793738545,4.260331231599653,1.788330985726496
iNF517,5.5661538461538465,12.07742046991412,112.11931409065267,9.485653348734267,5.5661538461538465,15.635150506501267,192.97612787384978,12.18654061387534,0.19501673930939117,0.2000900219637819,2.8935821851828614,1.461117243877822
iNJ661,5.519417475728155,13.737999587653738,199.23242686229594,12.978300533065005,5.519417475728155,19.971511546377084,227.50880221949436,13.660915096497014,0.2579595868215856,0.2040132269717949,1.703348869154616,1.001518018141937
iNRG857_1313,4.4655172413793105,16.065927134812775,399.5501645171963,18.861994514764014,4.4655172413793105,22.285342284578466,678.1693420000868,23.675375545543353,0.17026033235219984,0.1717138212997227,0.9252376015950206,0.9200432767627739
iPC815,4.059922680412371,13.090914926095468,345.9943688487556,17.41120378574392,4.059922680412371,18.54274504512357,544.311477454524,21.184274966404242,0.15144718361162915,0.16750872654260557,2.107055702523775,1.2515264038441825
iRC1080,5.31242672919109,11.460582237596034,190.73961955797668,12.148236473115785,5.31242672919109,17.16836966892055,401.0942834341924,17.859663372063913,0.16852592679142564,0.1706448154031696,1.5541290712651055,1.1361476745587107
iS_1188,4.331562167906482,15.640167116162171,391.11163412731105,18.669870252820765,4.331562167906482,21.38033084095934,661.8189430133979,23.428308683553944,0.16298971769449228,0.17007025524675184,0.7807539193465476,0.9551500843468554
iSB619,4.996941896024465,11.572533778244578,137.31868639069845,10.83798700136921,4.996941896024465,16.530390596654684,166.67830040387153,11.778187296907829,0.2145078120497615,0.21435364160214396,1.5107918187604152,1.2126387701609374
iSbBS512_1146,4.283190578158458,15.173570934904241,383.09495512609254,18.444213698857077,4.283190578158458,21.126203729932797,657.0007653604083,23.2976923823104,0.16277083194950687,0.1708393570125017,1.048950566741035,0.9975115403534112
iSBO_1134,4.30406852248394,15.197720602067822,385.9117703372326,18.518291665071008,4.30406852248394,21.021495181798755,651.5751222981606,23.188449231304624,0.1519457661163686,0.15878713956228951,0.5271356248045982,0.9081862821076742
iSDY_1059,4.287796976241901,15.052528690711714,373.2200328082631,18.23381266934199,4.287796976241901,20.99829783561845,647.7581518556668,23.1357362597247,0.1595871408780025,0.16786291819565172,0.9749386804163098,0.9753427465706823
iSF_1195,4.339692633810281,15.686874693111294,391.06582985279886,18.670754187332637,4.339692633810281,21.429803783693234,661.312117946961,23.405838508584438,0.16400175969404546,0.17129935334834545,1.0026214284478776,0.9929762941913828
iSFV_1184,4.321144674085851,15.655596890730052,391.3733505002591,18.683592190193053,4.321144674085851,21.406349274380226,664.2700333395178,23.472618458938065,0.1638629777025775,0.17274445194438146,1.0888317018385765,1.0070589346571854
iSFxv_1172,4.3548728813559325,15.692966333893734,392.7701225574624,18.717734283068634,4.3548728813559325,21.57397889213017,653.4018099314294,23.2690697955297,0.16383798220576934,0.1695086898611461,0.9608481130768869,0.9563559034244987
iSSON_1240,4.407970634504458,15.908670233326863,394.96168208840675,18.775540269902393,4.407970634504458,21.899237700782713,669.4885018407632,23.519307416300613,0.17124816860222308,0.17435634016965104,1.2798248465306745,1.0012617923052887
iSynCJ816,5.045405405405406,13.360858241286545,220.47352722668327,13.659532598802686,5.045405405405406,19.334441834505142,226.9279296082299,13.924161793479769,0.22346947922618662,0.19490997170171362,0.03645656338331005,0.7098081191425618
iUMN146_1321,4.465237846314689,16.09255019019781,399.91480215077337,18.87928195804249,4.465237846314689,22.28980271161052,673.2347740942791,23.606922325097933,0.16803158629160486,0.16822972514217477,0.3714706828448171,0.8223105014758999
iUMNK88_1353,4.5,16.39976733652249,406.6330489949019,19.031159094951974,4.5,22.544469157608308,701.1785555141943,24.04270788126011,0.1728138837021255,0.17023389277011053,0.9046819725662334,0.8907010282593208
iUTI89_1310,4.45578231292517,16.05850133091499,400.6713156521164,18.905584621348844,4.45578231292517,22.237856164312184,672.915329174491,23.606098364037663,0.1676550837788739,0.16823653463909594,0.3583252235336212,0.8204591746509146
iWFL_1372,4.495625321667524,16.372524352943163,406.1132804064678,19.006607082185596,4.495625321667524,22.483753072977972,697.6904978166604,23.974071882648357,0.1714409436963263,0.16897918246130977,0.5207752895338187,0.8288448410585273
iY75_1357,4.514553014553014,16.33301747159535,401.97229559451193,18.93197765252637,4.514553014553014,22.538262597930217,688.053566259353,23.82315276527167,0.1722899235552398,0.1673704986953914,0.2984838830600913,0.7742706979794972
iYL1228,4.364897466827503,14.832076482475674,367.1198435262974,17.942321478719006,4.364897466827503,20.164436157363102,613.229015890717,22.364024815856876,0.1657906700326037,0.16368500276187636,0.9287315473666649,0.8870206530400406
iYO844,4.920812182741117,15.024576257789967,200.62762490415486,13.33886667784037,4.920812182741117,19.536450985449136,390.40960718040026,17.888856507300325,0.21089854804072383,0.21273558921970315,2.787475897453783,1.425085730592762
iYS1720,4.101520756267982,14.139373254384331,453.39223929451396,19.690285799424093,4.101520756267982,20.369439529301125,712.5303358818617,23.981246558799974,0.13992896317215123,0.15496126729933446,1.101680539521051,1.084363784026657
iYS854,6.645328719723183,16.586216626626126,182.43139171246386,11.855783213329579,6.645328719723183,21.76010652466131,106.99899452420682,8.71025275676638,0.18184507071645603,0.18248941391752568,2.625940775386476,1.2390553943127531
iZ_1308,4.497622820919176,16.162723106780703,394.521499198723,18.75580528001552,4.497622820919176,22.236271954621362,666.682865577336,23.474861620655776,0.16861795891622813,0.16728125093705892,0.4214124217044857,0.8244871322441004
RECON1,4.3842257597684515,11.70565734937045,349.4031143177289,16.15274572291112,4.3842257597684515,12.334049682244805,460.4184201769404,17.605553059669834,0.1436039572930589,0.1649314934567964,2.635298049805506,1.3881235743230143
Recon3D,5.370179948586118,23.164278305783082,1030.9160335751956,28.600890291116535,5.370179948586118,24.42898671306461,1644.7969560028073,34.844541146831496,0.16531810630852414,0.17268143005398848,2.2932451131063685,1.2561266469908645
STM_v1_0,4.359444444444445,14.628975042786463,390.1715502305847,18.55558914865459,4.359444444444445,20.80937875420125,648.9051536456337,23.135378776982925,0.16131559936752524,0.15907201109913857,0.6187766605046892,0.8691883600645891
